degree,career_path
Bachelor of Science (Data Science),Data Analyst -> Data Scientist -> Senior Data Scientist -> Director of Analytics
Bachelor of Technology (Artificial Intelligence),AI Engineer -> ML Lead -> AI Architect -> CTO
"Bachelor of Medicine, Bachelor of Surgery (MBBS)",Resident Doctor -> Junior Consultant -> Senior Consultant -> Medical Director
Bachelor of Science (Biotechnology),Lab Technician -> Research Associate -> Senior Scientist -> Lab Head
Bachelor of Technology (Computer Science & Engineering),Junior Developer -> Software Engineer -> Technical Lead -> Engineering Manager
Bachelor of Science (Nursing),Staff Nurse -> Clinical Instructor -> Nurse Manager -> Nursing Director
Bachelor of Pharmacy (BPharm),Quality Analyst -> Pharmacist -> Production Manager -> Pharma Director
Bachelor of Science (Physiotherapy),Junior Therapist -> Senior Physiotherapist -> Clinic Head -> Sports Team Medic
Bachelor of Technology (Mechanical Engineering),Graduate Trainee -> Design Engineer -> Senior Production Lead -> Plant Head
Bachelor of Technology (Civil Engineering),Junior Engineer -> Site Supervisor -> Project Manager -> Chief Engineer
Bachelor of Technology (Electronics & Communication Engineering),Embedded Engineer -> VLSI Design Lead -> Systems Architect -> CTO
Bachelor of Science (Cyber Security),Junior Analyst -> Security Consultant -> CISO -> Cyber Lead
Bachelor of Science (Agriculture),Agricultural Officer -> Senior Scientist -> Farm Director -> Agri-Policy Consultant
Bachelor of Architecture (BArch),Intern -> Junior Architect -> Senior Designer -> Principal Architect
Bachelor of Science (Forensic Science),Forensic Analyst -> Senior Expert -> Lab Director -> Forensic Consultant
Chartered Accountancy (CA),Article Assistant -> Junior Accountant -> Financial Controller -> CFO
Bachelor of Commerce (BCom),Accounting Clerk -> Senior Accountant -> Accounts Manager -> Internal Auditor
Bachelor of Business Administration (BBA),Management Trainee -> Assistant Manager -> Operations Manager -> General Manager
Bachelor of Management Studies (BMS),Project Assistant -> Business Analyst -> Project Manager -> Strategy Head
Company Secretary (CS),Trainee -> Assistant CS -> Company Secretary -> Head of Compliance
Bachelor of Commerce (Finance and Accountancy),Financial Analyst -> Investment Associate -> Portfolio Manager -> Fund Director
Bachelor of Financial Markets (BFM),Equity Dealer -> Market Research Analyst -> Risk Manager -> Head of Equity
Bachelor of Banking and Insurance (BBI),Bank Trainee -> Assistant Manager -> Branch Manager -> Regional Head
Bachelor of Business Administration (International Business),Trade Trainee -> Export Consultant -> Global Supply Chain Lead -> VP International Operations
Bachelor of Commerce (Digital Marketing),SEO Intern -> Digital Marketing Specialist -> Marketing Manager -> CMO
Bachelor of Business Administration (HR Management),HR Assistant -> Recruitment Specialist -> HR Manager -> CHRO
Bachelor of Business Administration (Supply Chain Management),Logistics Coordinator -> Operations Planner -> Supply Chain Director -> COO
Bachelor of Commerce (Information Technology),Systems Analyst -> ERP Consultant -> IT Project Manager -> IT Director
Bachelor of Commerce (Actuarial Science),Actuarial Trainee -> Associate Actuary -> Pricing Head -> Chief Risk Officer
Bachelor of Business Administration (Entrepreneurship),Product Intern -> Growth Lead -> Business Founder -> CEO
Bachelor of Arts (Economics),Junior Economist -> Research Fellow -> Senior Economist -> Policy Director
Bachelor of Arts (Psychology),Junior Counselor -> Psychologist -> Clinical Director -> Private Practitioner
Bachelor of Laws (LLB),Legal Associate -> Senior Associate -> Partner -> Managing Partner
Bachelor of Design (BDes),Junior Designer -> UI/UX Designer -> Lead Designer -> Creative Director
Bachelor of Arts (Journalism),Intern -> Reporter -> Editor -> Editor-in-Chief
Bachelor of Arts (Sociology),Field Researcher -> Social Policy Analyst -> NGO Director -> Social Consultant
Bachelor of Arts (Political Science),Legislative Aide -> Public Policy Analyst -> Political Consultant -> Government Advisor
Bachelor of Arts (History),Archivist -> Curator -> Research Head -> Cultural Heritage Director
Bachelor of Arts (English Literature),Copywriter -> Content Strategist -> Editorial Director -> Author
Bachelor of Fine Arts (BFA),Gallery Assistant -> Illustrator -> Art Director -> Creative Principal
Bachelor of Mass Media (BMM),Production Assistant -> Media Planner -> PR Director -> Media Head
Bachelor of Arts (Public Administration),Administrative Trainee -> Policy Lead -> Compliance Manager -> Governance Director
Bachelor of Science (Hospitality & Hotel Administration),Front Office Trainee -> Operations Manager -> General Manager -> Regional VP
Bachelor of Arts (Criminology),Crime Analyst -> Legal Consultant -> Security Lead -> Criminology Expert
Bachelor of Arts (Geography),GIS Trainee -> Urban Planner -> Spatial Scientist -> Environmental Consultant
