degree,top_job_roles,top_skills
Bachelor of Science (Data Science),"Data Analyst, Machine Learning Engineer, BI Analyst","Python, Statistics, Machine Learning, SQL, Data Visualization"
Bachelor of Technology (Artificial Intelligence),"AI Researcher, Robotics Engineer, Software Engineer","Neural Networks, Computer Vision, PyTorch, C++, Problem Solving"
"Bachelor of Medicine, Bachelor of Surgery (MBBS)","General Physician, Specialized Surgeon, Medical Consultant","Clinical Diagnostics, Patient Care, Biology, Pharmacology, Resilience"
Bachelor of Science (Biotechnology),"Biomedical Scientist, Lab Technician, Quality Analyst","Molecular Biology, PCR, CRISPR, Bioinformatics, Research Ethics"
Bachelor of Technology (Computer Science & Engineering),"Full Stack Developer, DevOps Engineer, Systems Architect","Java, Cloud Computing, Algorithms, Data Structures, Git"
Bachelor of Science (Nursing),"Registered Nurse, Clinical Specialist, Nurse Educator","Patient Care, Emergency Response, Anatomy, Medical Recordkeeping, Empathy"
Bachelor of Pharmacy (BPharm),"Pharmacist, Drug Inspector, Quality Control Associate","Pharmacology, Pharmaceutics, Chemistry, Regulatory Affairs, Accuracy"
Bachelor of Science (Physiotherapy),"Physiotherapist, Sports Therapist, Rehabilitation Specialist","Anatomy, Exercise Therapy, Manual Therapy, Patient Motivation, Resilience"
Bachelor of Technology (Mechanical Engineering),"Design Engineer, Production Engineer, Maintenance Lead","AutoCAD, Thermodynamics, Mechanics, Problem Solving, Project Management"
Bachelor of Technology (Civil Engineering),"Site Engineer, Structural Designer, Project Coordinator","Surveying, Revit, Project Planning, Structural Analysis, Teamwork"
Bachelor of Technology (Electronics & Communication Engineering),"Embedded Systems Engineer, VLSI Designer, Network Engineer","C Programming, Signal Processing, IoT, Hardware Design, Analytical Thinking"
Bachelor of Science (Cyber Security),"Security Analyst, Penetration Tester, Incident Responder","Network Security, Cryptography, Firewall Management, Linux, Ethical Hacking"
Bachelor of Science (Agriculture),"Agricultural Officer, Farm Manager, Research Scientist","Soil Science, Agronomy, Pest Management, Sustainability, Data Analysis"
Bachelor of Architecture (BArch),"Architect, Urban Planner, Interior Designer","SketchUp, Rhino, Design Thinking, Sustainability, Building Codes"
Bachelor of Science (Forensic Science),"Forensic Expert, Crime Scene Investigator, Lab Analyst","Fingerprint Analysis, DNA Profiling, Toxicology, Legal Documentation, Critical Thinking"
Chartered Accountancy (CA),"Chartered Accountant, Financial Auditor, Tax Consultant","Auditing, Financial Accounting, Taxation, Corporate Law, ERP"
Bachelor of Commerce (BCom),"Accountant, Relationship Manager, Operations Executive","Excel, Tally, Bookkeeping, Communication, Financial Literacy"
Bachelor of Business Administration (BBA),"Marketing Executive, HR Coordinator, Management Trainee","Leadership, Strategy, Market Research, Branding, Teamwork"
Bachelor of Management Studies (BMS),"Business Consultant, Project Coordinator, Operations Manager","Strategic Planning, Project Management, Agile, Analytics, Negotiation"
Company Secretary (CS),"Company Secretary, Compliance Officer, Governance Professional","Company Law, Corporate Finance, Secretarial Audit, Ethics, Management"
